employee_id,full_name,email,department,sub_team,job_level,hire_date,exit_date,exit_type,region,manager_id,is_active,employee_status
EMP-00001,Derek Gardner,derek.gardner@company.com,Customer Success,Onboarding,L6,09-03-2018,,,APAC,,TRUE,active
EMP-00002,Jean Clark,jean.clark@company.com,Customer Success,Renewals,L6,03-10-2018,28-10-2019,layoff,US,,FALSE,exited
EMP-00003,Melissa Jenkins,melissa.jenkins@company.com,Customer Success,Onboarding,L6,18-10-2018,09-02-2022,voluntary,US,,FALSE,exited
EMP-00004,Sandra Kelly,sandra.kelly@company.com,Customer Success,Renewals,L6,15-04-2018,,,APAC,,TRUE,active
EMP-00005,Jacqueline Mills,jacqueline.mills@company.com,Customer Success,Onboarding,L6,16-09-2018,,,US,,TRUE,active
EMP-00006,Hudson Coleman,hudson.coleman@company.com,Customer Success,Account Management,L6,13-04-2018,08-01-2020,voluntary,US,,FALSE,exited
EMP-00007,Alexander Larson,alexander.larson@company.com,Customer Success,Account Management,L6,12-08-2018,26-02-2020,layoff,EU,,FALSE,exited
EMP-00008,Blake Nichols,blake.nichols@company.com,Customer Success,Support,L6,06-06-2018,04-05-2025,voluntary,US,,FALSE,exited
EMP-00009,Blake Robertson,blake.robertson@company.com,Customer Success,Renewals,L6,10-09-2018,,,US,,TRUE,active
EMP-00010,Paul Cruz,paul.cruz@company.com,Customer Success,Onboarding,L6,22-08-2018,16-08-2022,voluntary,US,,FALSE,exited
EMP-00011,George Perry,george.perry@company.com,Customer Success,Onboarding,L5,10-02-2018,17-06-2021,voluntary,US,EMP-00002,FALSE,exited
EMP-00012,Victoria Romero,victoria.romero@company.com,Customer Success,Account Management,L5,17-09-2018,,,US,EMP-00007,TRUE,active
EMP-00013,Melissa Owens,melissa.owens@company.com,Customer Success,Account Management,L5,13-02-2018,23-01-2025,voluntary,US,EMP-00007,FALSE,exited
EMP-00014,Oliver Nelson,oliver.nelson@company.com,Customer Success,Account Management,L5,23-08-2018,,,US,EMP-00003,TRUE,active
EMP-00015,Benjamin Ahmed,benjamin.ahmed@company.com,Customer Success,Renewals,L5,05-06-2018,17-03-2023,voluntary,APAC,EMP-00003,FALSE,exited
EMP-00016,John Owens,john.owens@company.com,Customer Success,Renewals,L5,02-06-2018,,,US,EMP-00006,TRUE,active
EMP-00017,Sara Wells,sara.wells@company.com,Customer Success,Support,L5,27-02-2018,22-05-2025,voluntary,US,EMP-00007,FALSE,exited
EMP-00018,Adam Payne,adam.payne@company.com,Customer Success,Account Management,L5,14-08-2018,22-02-2019,voluntary,APAC,EMP-00008,FALSE,exited
EMP-00019,Lisa Crawford,lisa.crawford@company.com,Customer Success,Support,L5,16-11-2018,,,US,EMP-00003,TRUE,active
EMP-00020,Justin Rodriguez,justin.rodriguez@company.com,Customer Success,Renewals,L5,25-01-2018,06-01-2021,layoff,EU,EMP-00004,FALSE,exited
EMP-00021,Carol Byrd,carol.byrd@company.com,Customer Success,Support,L5,18-04-2018,,,US,EMP-00005,TRUE,active
EMP-00022,Aiden Alvarez,aiden.alvarez@company.com,Customer Success,Renewals,L5,24-06-2018,07-06-2021,layoff,APAC,EMP-00008,FALSE,exited
EMP-00023,Sean Burns,sean.burns@company.com,Customer Success,Onboarding,L5,04-02-2018,07-01-2019,layoff,US,EMP-00005,FALSE,exited
EMP-00024,Riley Curry,riley.curry@company.com,Customer Success,Renewals,L5,12-10-2018,,,US,EMP-00009,TRUE,active
EMP-00025,Gloria Stewart,gloria.stewart@company.com,Customer Success,Renewals,L5,24-01-2018,08-12-2019,voluntary,EU,EMP-00008,FALSE,exited
EMP-00026,Scott Jensen,scott.jensen@company.com,Customer Success,Account Management,L5,04-12-2018,28-02-2021,layoff,APAC,EMP-00004,FALSE,exited
EMP-00027,Rachel Nielsen,rachel.nielsen@company.com,Customer Success,Support,L5,15-12-2018,05-09-2026,voluntary,US,EMP-00005,FALSE,exited
EMP-00028,Sean Singh,sean.singh@company.com,Customer Success,Renewals,L5,15-10-2018,06-12-2023,performance,US,EMP-00002,FALSE,exited
EMP-00029,Quinn Payne,quinn.payne@company.com,Customer Success,Onboarding,L4,26-03-2018,,,US,EMP-00023,TRUE,active
EMP-00030,Theresa Scott,theresa.scott@company.com,Customer Success,Renewals,L4,14-08-2018,,,EU,EMP-00016,TRUE,active
EMP-00031,Cody Thomas,cody.thomas@company.com,Customer Success,Onboarding,L4,27-10-2018,27-11-2019,voluntary,US,EMP-00011,FALSE,exited
EMP-00032,Connor Tucker,connor.tucker@company.com,Customer Success,Support,L4,18-07-2018,02-02-2025,voluntary,EU,EMP-00021,FALSE,exited
EMP-00033,Justin Porter,justin.porter@company.com,Customer Success,Onboarding,L4,23-03-2018,04-11-2021,performance,US,EMP-00023,FALSE,exited
EMP-00034,Rowan Herrera,rowan.herrera@company.com,Customer Success,Account Management,L4,28-04-2018,23-02-2021,voluntary,APAC,EMP-00026,FALSE,exited
EMP-00035,Blake Thomas,blake.thomas@company.com,Customer Success,Support,L4,05-10-2018,23-01-2019,layoff,US,EMP-00027,FALSE,exited
EMP-00036,Leah Hansen,leah.hansen@company.com,Customer Success,Onboarding,L4,28-12-2018,05-01-2020,layoff,US,EMP-00011,FALSE,exited
EMP-00037,Cameron Reed,cameron.reed@company.com,Customer Success,Account Management,L4,05-02-2018,25-11-2021,layoff,EU,EMP-00014,FALSE,exited
EMP-00038,Cheryl Torres,cheryl.torres@company.com,Customer Success,Support,L4,22-10-2018,23-12-2022,voluntary,US,EMP-00027,FALSE,exited
EMP-00039,Adam Butler,adam.butler@company.com,Customer Success,Renewals,L4,09-07-2018,,,US,EMP-00025,TRUE,active
EMP-00040,Julie Woods,julie.woods@company.com,Customer Success,Onboarding,L4,21-06-2018,,,APAC,EMP-00011,TRUE,active
EMP-00041,Peter Owens,peter.owens@company.com,Customer Success,Support,L4,23-09-2018,10-06-2025,voluntary,US,EMP-00021,FALSE,exited
EMP-00042,Miranda Gibson,miranda.gibson@company.com,Customer Success,Support,L4,01-04-2018,08-03-2019,performance,EU,EMP-00017,FALSE,exited
EMP-00043,Taylor Taylor,taylor.taylor@company.com,Customer Success,Support,L4,23-08-2018,,,US,EMP-00021,TRUE,active
EMP-00044,Kelly Rao,kelly.rao@company.com,Customer Success,Account Management,L4,13-10-2018,,,US,EMP-00013,TRUE,active
EMP-00045,Cameron Richardson,cameron.richardson@company.com,Customer Success,Renewals,L4,09-03-2018,03-01-2020,voluntary,US,EMP-00020,FALSE,exited
EMP-00046,Elijah Johansson,elijah.johansson@company.com,Customer Success,Account Management,L4,19-05-2018,01-02-2021,voluntary,APAC,EMP-00013,FALSE,exited
EMP-00047,Elizabeth Sanchez,elizabeth.sanchez@company.com,Customer Success,Account Management,L4,11-06-2018,30-10-2026,layoff,EU,EMP-00012,FALSE,exited
EMP-00048,Robert Young,robert.young@company.com,Customer Success,Account Management,L4,27-08-2018,27-08-2025,voluntary,EU,EMP-00018,FALSE,exited
EMP-00049,Peter Smith,peter.smith@company.com,Customer Success,Account Management,L4,06-12-2018,,,US,EMP-00018,TRUE,active
EMP-00050,Sawyer King,sawyer.king@company.com,Customer Success,Support,L4,14-12-2018,05-08-2024,voluntary,EU,EMP-00019,FALSE,exited
