license_id,of_id,current_of_id,vendor,sku,seat_type,assigned_email,employee_id,department,job_level,provisioned_date,effective_license_date,last_active_date,license_status,usage_tier,seat_tier_match,days_since_last_active,active_usage_rate,login_events_30d,tenure_days,days_since_provisioned,license_age_band,hire_cohort_year,hire_cohort_half,monthly_cost,annual_cost,cost_at_risk,reclamation_candidate,churn_risk_score,contract_days_remaining,renewal_urgency,notice_deadline,days_until_notice,auto_renewal,true_down_rights,measurement_method
LIC-0000003,V3-OF-010,V3-OF-020,Nexaflow,Flow Lite,Full,derek.gardner@company.com,EMP-00001,Customer Success,L6,19-03-2018,01-01-2019,17-04-2026,active,power,match,14,0.9733,40,2975,2965,legacy,2018,2018-H1,31.23,374.76,0,FALSE,0.0522,335,ok,31-01-2027,275,FALSE,FALSE,average
LIC-0000004,V3-OF-084,V3-OF-093,Nexaflow,Mobile Access,Full,derek.gardner@company.com,EMP-00001,Customer Success,L6,19-03-2018,01-01-2019,25-04-2026,active,power,match,6,0.7583,32,2975,2965,legacy,2018,2018-H1,22.23,266.76,0,FALSE,0.1375,518,ok,03-07-2027,428,FALSE,FALSE,snapshot
LIC-0000007,V3-OF-011,V3-OF-020,Nexaflow,Flow Lite,Full,sandra.kelly@company.com,EMP-00004,Customer Success,L6,25-04-2018,01-01-2020,28-04-2026,active,power,match,3,0.6317,26,2938,2928,legacy,2018,2018-H1,31.23,374.76,0,FALSE,0.1925,335,ok,31-01-2027,275,FALSE,FALSE,average
LIC-0000008,V3-OF-085,V3-OF-093,Nexaflow,Mobile Access,Full,sandra.kelly@company.com,EMP-00004,Customer Success,L6,25-04-2018,01-01-2020,20-04-2026,active,moderate,match,11,0.4961,22,2938,2928,legacy,2018,2018-H1,22.23,266.76,0,FALSE,0.2825,518,ok,03-07-2027,428,FALSE,FALSE,snapshot
LIC-0000011,V3-OF-012,V3-OF-020,Nexaflow,Flow Lite,Full,jacqueline.mills@company.com,EMP-00005,Customer Success,L6,21-09-2018,01-07-2020,01-05-2026,active,power,match,0,0.8502,37,2784,2779,legacy,2018,2018-H2,31.23,374.76,0,FALSE,0.0749,335,ok,31-01-2027,275,FALSE,FALSE,average
LIC-0000012,V3-OF-086,V3-OF-093,Nexaflow,Mobile Access,Full,jacqueline.mills@company.com,EMP-00005,Customer Success,L6,21-09-2018,01-04-2020,30-04-2026,active,power,match,1,0.9546,39,2784,2779,legacy,2018,2018-H2,22.23,266.76,0,FALSE,0.0255,518,ok,03-07-2027,428,FALSE,FALSE,snapshot
LIC-0000013,V1-OF-043,V1-OF-052,Atlassify,Wiki Lite,Full,jacqueline.mills@company.com,EMP-00005,Customer Success,L6,21-09-2018,01-01-2020,22-04-2026,active,power,match,9,0.7644,31,2784,2779,legacy,2018,2018-H2,19.98,239.76,0,FALSE,0.1428,426,ok,02-05-2027,366,FALSE,TRUE,average
LIC-0000016,V3-OF-095,V3-OF-093,Nexaflow,Mobile Access,Full,blake.robertson@company.com,EMP-00009,Customer Success,L6,19-09-2018,01-07-2020,30-04-2026,active,power,match,1,0.9786,40,2790,2781,legacy,2018,2018-H2,22.23,266.76,0,FALSE,0.0135,518,ok,03-07-2027,428,FALSE,FALSE,snapshot
LIC-0000019,V3-OF-013,V3-OF-020,Nexaflow,Flow Lite,Full,victoria.romero@company.com,EMP-00012,Customer Success,L5,27-09-2018,01-10-2020,24-04-2026,active,power,match,7,0.7938,35,2783,2773,legacy,2018,2018-H2,31.23,374.76,0,FALSE,0.1225,335,ok,31-01-2027,275,FALSE,FALSE,average
LIC-0000020,V3-OF-096,V3-OF-093,Nexaflow,Mobile Access,Full,victoria.romero@company.com,EMP-00012,Customer Success,L5,27-09-2018,01-01-2021,27-04-2026,active,power,match,4,0.9021,39,2783,2773,legacy,2018,2018-H2,22.23,266.76,0,FALSE,0.0601,518,ok,03-07-2027,428,FALSE,FALSE,snapshot
